,NIS,Woonplaats,Mannen,Vrouwen,inhabitants
116,23047,Machelen (Halle-Vilvoorde),7618.0,7987.0,15605.0
117,23050,Meise,9557.0,10070.0,19627.0
118,23052,Merchtem,8238.0,8528.0,16766.0
119,23060,Opwijk,7218.0,7528.0,14746.0
120,23062,Overijse,12492.0,13005.0,25497.0
121,23064,Pepingen,2270.0,2267.0,4537.0
122,23077,Sint-Pieters-Leeuw,16923.0,17698.0,34621.0
123,23081,Steenokkerzeel,6007.0,6272.0,12279.0
124,23086,Ternat,7888.0,8124.0,16012.0
125,23088,Vilvoorde,22086.0,23409.0,45495.0
126,23094,Zaventem,17002.0,17780.0,34782.0
127,23096,Zemst,11404.0,11856.0,23260.0
128,23097,Roosdaal,5756.0,5909.0,11665.0
129,23098,Drogenbos,2646.0,3007.0,5653.0
130,23099,Kraainem,6696.0,7157.0,13853.0
131,23100,Linkebeek,2213.0,2483.0,4696.0
132,23101,Sint-Genesius-Rode,8940.0,9579.0,18519.0
133,23102,Wemmel,8178.0,8636.0,16814.0
134,23103,Wezembeek-Oppem,6831.0,7438.0,14269.0
135,23104,Lennik,4466.0,4630.0,9096.0
136,23105,Affligem,6540.0,6811.0,13351.0
137,24000,Arrondissement Leuven,253224.0,258853.0,512077.0
138,24001,Aarschot,14768.0,15415.0,30183.0
139,24007,Begijnendijk,5024.0,5232.0,10256.0
140,24008,Bekkevoort,3227.0,3105.0,6332.0
141,24009,Bertem,4993.0,5148.0,10141.0
142,24011,Bierbeek,5064.0,5098.0,10162.0
143,24014,Boortmeerbeek,6249.0,6380.0,12629.0
144,24016,Boutersem,4080.0,4162.0,8242.0
145,24020,Diest,11935.0,12299.0,24234.0
146,24028,Geetbets,3074.0,3062.0,6136.0
147,24033,Haacht,7299.0,7555.0,14854.0
148,24038,Herent,10675.0,11245.0,21920.0
149,24041,Hoegaarden,3452.0,3411.0,6863.0
150,24043,Holsbeek,5002.0,5060.0,10062.0
151,24045,Huldenberg,4913.0,5030.0,9943.0
152,24048,Keerbergen,6331.0,6623.0,12954.0
153,24054,Kortenaken,3943.0,3949.0,7892.0
