date,age,dose,VOC,e_s,e_i,e_h
2022-10-03,"[12, 18)",boosted,WT,0.6543923969351366,0.44211850221294013,0.8175933685076167
2022-10-03,"[12, 18)",boosted,abc,0.6543923969351366,0.44211850221294013,0.8175933685076167
2022-10-03,"[12, 18)",boosted,delta,0.5567123760549351,0.2556327163992251,0.8175933685076167
2022-10-03,"[12, 18)",boosted,omicron,0.03585017928529445,0.15360325355445392,0.4783167280995574
2022-10-03,"[18, 25)",none,WT,0.0,0.0,0.0
2022-10-03,"[18, 25)",none,abc,0.0,0.0,0.0
2022-10-03,"[18, 25)",none,delta,0.0,0.0,0.0
2022-10-03,"[18, 25)",none,omicron,0.0,0.0,0.0
2022-10-03,"[18, 25)",partial,WT,0.05534230208181186,0.03943934171347512,0.059795130984946154
2022-10-03,"[18, 25)",partial,abc,0.05534230208181186,0.03943934171347512,0.059795130984946154
2022-10-03,"[18, 25)",partial,delta,0.050253354763944116,0.02417249975987185,0.059795130984946154
2022-10-03,"[18, 25)",partial,omicron,0.0031805920736673486,0.013994605124136333,0.041983815372409
2022-10-03,"[18, 25)",full,WT,0.36767455592054055,0.2224749213920728,0.6180358040996028
2022-10-03,"[18, 25)",full,abc,0.36767455592054055,0.2224749213920728,0.6180358040996028
2022-10-03,"[18, 25)",full,delta,0.27228739973681415,0.11781935774354986,0.6180358040996028
2022-10-03,"[18, 25)",full,omicron,0.003999522691477387,0.06222227499703436,0.2258928172635875
2022-10-03,"[18, 25)",boosted,WT,0.5480658429557904,0.35815997947258194,0.7497213498996418
2022-10-03,"[18, 25)",boosted,abc,0.5480658429557904,0.35815997947258194,0.7497213498996418
2022-10-03,"[18, 25)",boosted,delta,0.4441800591938161,0.21404133934689573,0.7497213498996418
2022-10-03,"[18, 25)",boosted,omicron,0.010369491166529892,0.09409789881719219,0.3298791100337148
2022-10-03,"[25, 35)",none,WT,0.0,0.0,0.0
2022-10-03,"[25, 35)",none,abc,0.0,0.0,0.0
2022-10-03,"[25, 35)",none,delta,0.0,0.0,0.0
2022-10-03,"[25, 35)",none,omicron,0.0,0.0,0.0
2022-10-03,"[25, 35)",partial,WT,0.052188288856169655,0.037191654127385274,0.056387346580229286
2022-10-03,"[25, 35)",partial,abc,0.052188288856169655,0.037191654127385274,0.056387346580229286
2022-10-03,"[25, 35)",partial,delta,0.047389365742958656,0.022794884787752268,0.056387346580229286
2022-10-03,"[25, 35)",partial,omicron,0.002999326945756877,0.013197038561330258,0.03959111568399078
2022-10-03,"[25, 35)",full,WT,0.36029767358985876,0.21718666980733442,0.6119245512220144
2022-10-03,"[25, 35)",full,abc,0.36029767358985876,0.21718666980733442,0.6119245512220144
2022-10-03,"[25, 35)",full,delta,0.26556801407115654,0.11463191169231476,0.6119245512220144
2022-10-03,"[25, 35)",full,omicron,0.0037741199964054805,0.06041122048107159,0.220282725265315
2022-10-03,"[25, 35)",boosted,WT,0.5395437818630755,0.3514818342143128,0.7441620875375157
2022-10-03,"[25, 35)",boosted,abc,0.5395437818630755,0.3514818342143128,0.7441620875375157
2022-10-03,"[25, 35)",boosted,delta,0.43525972995689677,0.21070799682138855,0.7441620875375157
2022-10-03,"[25, 35)",boosted,omicron,0.008535610685018447,0.08962424668126398,0.31846916801439046
2022-10-03,"[35, 45)",none,WT,0.0,0.0,0.0
2022-10-03,"[35, 45)",none,abc,0.0,0.0,0.0
2022-10-03,"[35, 45)",none,delta,0.0,0.0,0.0
2022-10-03,"[35, 45)",none,omicron,0.0,0.0,0.0
2022-10-03,"[35, 45)",partial,WT,0.048822749911965856,0.03479322407519406,0.05275101714626196
2022-10-03,"[35, 45)",partial,abc,0.048822749911965856,0.03479322407519406,0.05275101714626196
2022-10-03,"[35, 45)",partial,delta,0.04433330164419888,0.02132487927189313,0.05275101714626196
2022-10-03,"[35, 45)",partial,omicron,0.0028059051673543596,0.012345982736359182,0.03703794820907755
2022-10-03,"[35, 45)",full,WT,0.3515426312873322,0.21084854727208818,0.604865877914075
2022-10-03,"[35, 45)",full,abc,0.3515426312873322,0.21084854727208818,0.604865877914075
2022-10-03,"[35, 45)",full,delta,0.2574952933546112,0.1107783843890354,0.604865877914075
2022-10-03,"[35, 45)",full,omicron,0.0034795395903664413,0.05820982174725489,0.21353990987679233
2022-10-03,"[35, 45)",boosted,WT,0.5233929913130454,0.3388495413171114,0.7335796667747909
2022-10-03,"[35, 45)",boosted,abc,0.5233929913130454,0.3388495413171114,0.7335796667747909
2022-10-03,"[35, 45)",boosted,delta,0.41840163203888214,0.2043908220268126,0.7335796667747909
2022-10-03,"[35, 45)",boosted,omicron,0.005748031671598786,0.08135284314628588,0.29713288848888403
2022-10-03,"[45, 55)",none,WT,0.0,0.0,0.0
2022-10-03,"[45, 55)",none,abc,0.0,0.0,0.0
2022-10-03,"[45, 55)",none,delta,0.0,0.0,0.0
2022-10-03,"[45, 55)",none,omicron,0.0,0.0,0.0
2022-10-03,"[45, 55)",partial,WT,0.044849151623865144,0.03196146437562804,0.048457704053371534
2022-10-03,"[45, 55)",partial,abc,0.044849151623865144,0.03196146437562804,0.048457704053371534
2022-10-03,"[45, 55)",partial,delta,0.04072509170442928,0.01958928461732041,0.048457704053371534
2022-10-03,"[45, 55)",partial,omicron,0.0025775374496474226,0.011341164778448657,0.034023494335345975
2022-10-03,"[45, 55)",full,WT,0.3429364201363926,0.20466795475938565,0.5977751332845891
2022-10-03,"[45, 55)",full,abc,0.3429364201363926,0.20466795475938565,0.5977751332845891
2022-10-03,"[45, 55)",full,delta,0.24963874355791735,0.10704745943921098,0.5977751332845891
2022-10-03,"[45, 55)",full,omicron,0.00321265522761054,0.05608804348740466,0.20697990665548327
2022-10-03,"[45, 55)",boosted,WT,0.5016881950711356,0.3219625258900899,0.7191589370205316
2022-10-03,"[45, 55)",boosted,abc,0.5016881950711356,0.3219625258900899,0.7191589370205316
2022-10-03,"[45, 55)",boosted,delta,0.39592053583563247,0.19590161684900773,0.7191589370205316
2022-10-03,"[45, 55)",boosted,omicron,0.0029365797923452987,0.07082222845334502,0.26937031643582326
2022-10-03,"[55, 65)",none,WT,0.0,0.0,0.0
2022-10-03,"[55, 65)",none,abc,0.0,0.0,0.0
2022-10-03,"[55, 65)",none,delta,0.0,0.0,0.0
2022-10-03,"[55, 65)",none,omicron,0.0,0.0,0.0
2022-10-03,"[55, 65)",partial,WT,0.04201043104702287,0.02993846810247607,0.04539058067149598
2022-10-03,"[55, 65)",partial,abc,0.04201043104702287,0.02993846810247607,0.04539058067149598
2022-10-03,"[55, 65)",partial,delta,0.038147402904767896,0.018349383675711144,0.04539058067149598
2022-10-03,"[55, 65)",partial,omicron,0.002414392588909361,0.010623327391201184,0.03186998217360356
2022-10-03,"[55, 65)",full,WT,0.33535958252675174,0.199258525426097,0.5914353763886049
2022-10-03,"[55, 65)",full,abc,0.33535958252675174,0.199258525426097,0.5914353763886049
2022-10-03,"[55, 65)",full,delta,0.24277251600766267,0.10379941600970771,0.5914353763886049
2022-10-03,"[55, 65)",full,omicron,0.002992389462819263,0.05424713758718806,0.2012482565564022
2022-10-03,"[55, 65)",boosted,WT,0.48672292067636586,0.3104150328938505,0.7089903550144031
2022-10-03,"[55, 65)",boosted,abc,0.48672292067636586,0.3104150328938505,0.7089903550144031
2022-10-03,"[55, 65)",boosted,delta,0.3806059464923164,0.19004876031971218,0.7089903550144031
2022-10-03,"[55, 65)",boosted,omicron,0.0014956563371011917,0.06411321366763133,0.25113804787031524
2022-10-03,"[65, 75)",none,WT,0.0,0.0,0.0
2022-10-03,"[65, 75)",none,abc,0.0,0.0,0.0
2022-10-03,"[65, 75)",none,delta,0.0,0.0,0.0
2022-10-03,"[65, 75)",none,omicron,0.0,0.0,0.0
2022-10-03,"[65, 75)",partial,WT,0.038465940641417284,0.02741250942261922,0.041560901382680746
2022-10-03,"[65, 75)",partial,abc,0.038465940641417284,0.02741250942261922,0.041560901382680746
2022-10-03,"[65, 75)",partial,delta,0.03492884265140191,0.01680121545257307,0.041560901382680746
2022-10-03,"[65, 75)",partial,omicron,0.002210686243759615,0.009727019472542304,0.02918105841762691
2022-10-03,"[65, 75)",full,WT,0.32726063745515027,0.19349478776720802,0.5846105702394178
2022-10-03,"[65, 75)",full,abc,0.32726063745515027,0.19349478776720802,0.5846105702394178
2022-10-03,"[65, 75)",full,delta,0.23546266531218957,0.10034940965225593,0.5846105702394178
2022-10-03,"[65, 75)",full,omicron,0.002767937293528018,0.05229584981636992,0.1951471853064227
2022-10-03,"[65, 75)",boosted,WT,0.4679257322674323,0.29618832063288814,0.6955619557845385
2022-10-03,"[65, 75)",boosted,abc,0.4679257322674323,0.29618832063288814,0.6955619557845385
2022-10-03,"[65, 75)",boosted,delta,0.3619074261925443,0.18269835606829632,0.6955619557845385
2022-10-03,"[65, 75)",boosted,omicron,0.0010252371105708771,0.05726005697268867,0.23084850201765814
2022-10-03,"[75, 85)",none,WT,0.0,0.0,0.0
2022-10-03,"[75, 85)",none,abc,0.0,0.0,0.0
2022-10-03,"[75, 85)",none,delta,0.0,0.0,0.0
2022-10-03,"[75, 85)",none,omicron,0.0,0.0,0.0
2022-10-03,"[75, 85)",partial,WT,0.035629591139957326,0.025391202881348898,0.03849633985236768
2022-10-03,"[75, 85)",partial,abc,0.035629591139957326,0.025391202881348898,0.03849633985236768
2022-10-03,"[75, 85)",partial,delta,0.03235330689720263,0.01556235015308481,0.03849633985236768
2022-10-03,"[75, 85)",partial,omicron,0.0020476776517216857,0.009009781667575417,0.027029345002726246
2022-10-03,"[75, 85)",full,WT,0.31311261182680405,0.18358129603876921,0.5721708280683628
2022-10-03,"[75, 85)",full,abc,0.31311261182680405,0.18358129603876921,0.5721708280683628
2022-10-03,"[75, 85)",full,delta,0.2229376820384932,0.09449675395493601,0.5721708280683628
2022-10-03,"[75, 85)",full,omicron,0.0024321116598910544,0.049014121059117455,0.1847002877883563
2022-10-03,"[75, 85)",boosted,WT,0.45666057974780006,0.28770747145256526,0.6873989336351378
2022-10-03,"[75, 85)",boosted,abc,0.45666057974780006,0.28770747145256526,0.6873989336351378
2022-10-03,"[75, 85)",boosted,delta,0.35078810896412205,0.1782934424083067,0.6873989336351378
2022-10-03,"[75, 85)",boosted,omicron,0.0008072951632309357,0.053363813774294645,0.21907086222205724
2022-10-03,"[85, 120)",none,WT,0.0,0.0,0.0
2022-10-03,"[85, 120)",none,abc,0.0,0.0,0.0
2022-10-03,"[85, 120)",none,delta,0.0,0.0,0.0
2022-10-03,"[85, 120)",none,omicron,0.0,0.0,0.0
2022-10-03,"[85, 120)",partial,WT,0.03221949655950215,0.02296102053665671,0.03481186984589888
2022-10-03,"[85, 120)",partial,abc,0.03221949655950215,0.02296102053665671,0.03481186984589888
2022-10-03,"[85, 120)",partial,delta,0.029256784232191618,0.01407288355472508,0.03481186984589888
2022-10-03,"[85, 120)",partial,omicron,0.0018516952045690897,0.008147458900103995,0.024442376700311984
2022-10-03,"[85, 120)",full,WT,0.3027552908688673,0.17652728844603877,0.5623582699210965
2022-10-03,"[85, 120)",full,abc,0.3027552908688673,0.17652728844603877,0.5623582699210965
