,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Business-as-usual,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown
,Sectoral output (M€/y),Intermediate demand (M€/y),Intermediate use (M€/y),Household demand (M€/y),Total other demand (M€/y),Other demand - government (M€/y),Other demand - exports (M€/y),Other demand - others (M€/y),Taxes minus subsidies (M€/y),Consumption fixed capital (M€/y),Imports (M€/y),Operating surplus and mixed income (M€/y),Gross value added (M€/y),Gross domestic product i (M€/y),Labor compensation (M€/y),Employees (x1000),Desired stock (days),On-site consumption (-),Consumer demand shock (%),Other demand shock (%),Telework (%),Mix (%),Workplace (%),Absent (%)
64,20797.8366350649,14959.1479210278,5880.78618730152,3302.12166884988,2536.56704518725,0,2536.56704518725,0,1416.26200259891,1454.84488062281,2737.9,3597.96734045907,10367.3553721336,11783.6173747325,3898.28114845282,58.5,3.32371600991931,0,0,-32,0,0,100,0
65,9447.99800003408,4353.85742038192,4746.43936867142,4150.46000667257,943.680572979593,0,943.680572979593,0,188.042591922231,317.979746018318,1012,169.010985203421,2696.12685163941,2884.16944356164,2021.09352849544,24.6,3.32371600991931,0,0,-31,0,0,100,0
66,20463.9580001466,11523.5344859157,7402.98664376296,2690.74566460446,6249.67784962652,0,6249.67784962652,0,634.264990879707,1036.12953888071,2577.1,2802.91495214133,8042.70932838787,8676.97431926758,3569.39984648612,34.8,3.32371600991931,0,0,-33,0,0,100,0
68,46377.746000256,12725.7015742108,7109.94744416352,33438.255,213.789426045165,69.3,131.4,13.0894260451651,1577.71279519558,7002.75102472723,176.39,28444.9394750111,38190.9607103741,39768.6735055697,1165.55741544023,29.3,3.32371600991931,1,0,-8,0,0,100,0
69-70,20233.0550844564,0,13202.0279034657,545.755084456443,19687.3,0,19687.3,0,-135.80928535384,2846.72604385617,15938,19532.9503103232,28934.5694990772,28798.7602137234,6690.70243025171,393,3.32371600991931,1,0,-25,0,0,100,0
71,13253.2367316531,7681.77072860867,6074.85879254614,94.21,5477.25600304446,0,3045.3,2431.95600304446,-147.580015764106,744.077860647575,2372.1,1004.13727584485,4033.34322836459,3885.76321260048,2432.70810763627,60.4,3.32371600991931,0,0,-19,0,0,100,0
72,20054.3300000273,1884.89761855619,5161.9519176791,0,18169.4323814711,2033.2,3315.8,12820.4323814711,-826.966483548687,2913.99529067196,6366.8,191.480984940168,7203.46418511895,6376.49770157027,4924.95439305551,11.7,3.32371600991931,0,0,-11,0,0,100,0
73,9887.19733069547,6062.69432661233,3856.0316986787,3.3030040831339,3821.2,0,3821.2,0,26.8947938992757,327.262281419406,4195.1,325.703558685003,1477.93904906723,1504.83384296651,798.078415063545,19.1,3.32371600991931,0,0,-30,0,0,100,0
74-75,2778.67061463569,2059.78061463569,1451.95166414993,396.59,322.3,0,322.3,0,-6.33667875495377,209.245346499992,256,515.11954056573,958.87360546863,952.536926713676,240.845397157862,24.2,3.32371600991931,0,0,-30,0,0,100,0
77,17691.1175988853,11306.1375988853,5677.02678612736,2292.28,4092.7,0,4092.7,0,68.1075874070193,2888.08645270096,4288.6,2324.13667750208,6494.31584361904,6562.42343102606,1213.98512600898,15.2,3.32371600991931,0,0,-29,0,0,100,0
