date,age,dose,VOC,e_s,e_i,e_h
2021-01-04,"[45, 55)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[45, 55)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-04,"[45, 55)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-04,"[55, 65)",partial,WT,0.43299133105131604,0.30856853477220225,0.06166085479318902
2021-01-04,"[55, 65)",partial,abc,0.43299133105131604,0.30856853477220225,0.06166085479318902
2021-01-04,"[55, 65)",partial,delta,0.39317603624199965,0.189122650344253,0.12339450870655908
2021-01-04,"[55, 65)",partial,omicron,0.024884559255822763,0.10949206072562015,0.3113760235087567
2021-01-04,"[55, 65)",full,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[55, 65)",full,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[55, 65)",full,delta,0.79,0.38,0.714285714285714
2021-01-04,"[55, 65)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-04,"[55, 65)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[55, 65)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[55, 65)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-04,"[55, 65)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-04,"[65, 75)",partial,WT,0.4323347548173506,0.30810062986983605,0.06156735395629027
2021-01-04,"[65, 75)",partial,abc,0.4323347548173506,0.30810062986983605,0.06156735395629027
2021-01-04,"[65, 75)",partial,delta,0.392579834834146,0.1888358699202221,0.12320739664216311
2021-01-04,"[65, 75)",partial,omicron,0.02484682498950291,0.1093260299538128,0.31090386140711346
2021-01-04,"[65, 75)",full,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[65, 75)",full,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[65, 75)",full,delta,0.79,0.38,0.714285714285714
2021-01-04,"[65, 75)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-04,"[65, 75)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[65, 75)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[65, 75)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-04,"[65, 75)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-04,"[75, 85)",partial,WT,0.43217277092568596,0.3079851930734774,0.061544286369236
2021-01-04,"[75, 85)",partial,abc,0.43217277092568596,0.3079851930734774,0.061544286369236
2021-01-04,"[75, 85)",partial,delta,0.39243274601297923,0.18876511833535708,0.12316123423359523
2021-01-04,"[75, 85)",partial,omicron,0.024837515570441723,0.10928506850994357,0.3107873743173222
2021-01-04,"[75, 85)",full,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[75, 85)",full,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[75, 85)",full,delta,0.79,0.38,0.714285714285714
2021-01-04,"[75, 85)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-04,"[75, 85)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[75, 85)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[75, 85)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-04,"[75, 85)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-04,"[85, 120)",partial,WT,0.43221938465041476,0.30801841204972086,0.06155092447468004
2021-01-04,"[85, 120)",partial,abc,0.43221938465041476,0.30801841204972086,0.06155092447468004
2021-01-04,"[85, 120)",partial,delta,0.39247507341819277,0.18878547835305473,0.12317451828167982
2021-01-04,"[85, 120)",partial,omicron,0.024840194520138782,0.10929685588861063,0.31082089553404435
2021-01-04,"[85, 120)",full,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[85, 120)",full,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[85, 120)",full,delta,0.79,0.38,0.714285714285714
2021-01-04,"[85, 120)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-04,"[85, 120)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-04,"[85, 120)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-04,"[85, 120)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-04,"[85, 120)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-11,"[0, 12)",partial,WT,0.435,0.31,0.06194690265486713
2021-01-11,"[0, 12)",partial,abc,0.435,0.31,0.06194690265486713
2021-01-11,"[0, 12)",partial,delta,0.395,0.19,0.12396694214876025
2021-01-11,"[0, 12)",partial,omicron,0.025,0.11,0.31282051282051293
2021-01-11,"[0, 12)",full,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[0, 12)",full,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[0, 12)",full,delta,0.79,0.38,0.714285714285714
2021-01-11,"[0, 12)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-11,"[0, 12)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[0, 12)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[0, 12)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-11,"[0, 12)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-11,"[12, 18)",partial,WT,0.435,0.31,0.06194690265486713
2021-01-11,"[12, 18)",partial,abc,0.435,0.31,0.06194690265486713
2021-01-11,"[12, 18)",partial,delta,0.395,0.19,0.12396694214876025
2021-01-11,"[12, 18)",partial,omicron,0.025,0.11,0.31282051282051293
2021-01-11,"[12, 18)",full,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[12, 18)",full,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[12, 18)",full,delta,0.79,0.38,0.714285714285714
2021-01-11,"[12, 18)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-11,"[12, 18)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[12, 18)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[12, 18)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-11,"[12, 18)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-11,"[18, 25)",partial,WT,0.4338714274840976,0.30919572993119604,0.06178618639789802
2021-01-11,"[18, 25)",partial,abc,0.4338714274840976,0.30919572993119604,0.06178618639789802
2021-01-11,"[18, 25)",partial,delta,0.39397520426716914,0.18950706028041048,0.12364531988717509
2021-01-11,"[18, 25)",partial,omicron,0.024935139510580327,0.10971461384655343,0.31200892515803086
2021-01-11,"[18, 25)",full,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[18, 25)",full,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[18, 25)",full,delta,0.79,0.38,0.714285714285714
2021-01-11,"[18, 25)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-11,"[18, 25)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[18, 25)",boosted,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[18, 25)",boosted,delta,0.8,0.34,0.6999999999999997
2021-01-11,"[18, 25)",boosted,omicron,0.45,0.34,0.7636363636363637
2021-01-11,"[25, 35)",partial,WT,0.43156411884614676,0.3075514410167942,0.061457610251714395
2021-01-11,"[25, 35)",partial,abc,0.43156411884614676,0.3075514410167942,0.061457610251714395
2021-01-11,"[25, 35)",partial,delta,0.391880061940754,0.18849927030061583,0.12298777966547349
2021-01-11,"[25, 35)",partial,omicron,0.024802535565870504,0.10913115648983021,0.31034967579858486
2021-01-11,"[25, 35)",full,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[25, 35)",full,abc,0.87,0.62,0.5384615384615381
2021-01-11,"[25, 35)",full,delta,0.79,0.38,0.714285714285714
2021-01-11,"[25, 35)",full,omicron,0.05,0.22,0.6421052631578947
2021-01-11,"[25, 35)",boosted,WT,0.87,0.62,0.5384615384615381
2021-01-11,"[25, 35)",boosted,abc,0.87,0.62,0.5384615384615381
