date,NIS,age,e_s,e_i,e_h
2021-01-04,90000,"[65, 75)",1.2342534955232454e-06,8.795829508326576e-07,1.7576593365197233e-07
2021-01-04,90000,"[75, 85)",2.6050385536127457e-05,1.856464256597589e-05,3.7097487285706816e-06
2021-01-04,90000,"[85, 120)",0.00036987203091947844,0.0002635869645633065,5.267224527385503e-05
2021-01-11,10000,"[0, 12)",0.0,0.0,0.0
2021-01-11,10000,"[12, 18)",0.0,0.0,0.0
2021-01-11,10000,"[18, 25)",8.923403110488715e-07,6.359206814371269e-07,1.270752146748467e-07
2021-01-11,10000,"[25, 35)",4.958684552632753e-06,3.5337751984279392e-06,7.061497684554818e-07
2021-01-11,10000,"[35, 45)",6.704505551915716e-06,4.777923496767522e-06,9.547663282150326e-07
2021-01-11,10000,"[45, 55)",1.1367636419487258e-05,8.101074229979427e-06,1.6188272797560906e-06
2021-01-11,10000,"[55, 65)",1.5982147867365017e-05,1.1389576641110703e-05,2.275964501506559e-06
2021-01-11,10000,"[65, 75)",1.2365594415027227e-05,8.812262686571129e-06,1.7619900924174355e-06
2021-01-11,10000,"[75, 85)",0.00022807693272918655,0.00016253758424378812,3.2479677125507125e-05
2021-01-11,10000,"[85, 120)",0.004524282750594878,0.003224201500423936,0.0006442880531820586
2021-01-11,20001,"[0, 12)",0.0,0.0,0.0
2021-01-11,20001,"[12, 18)",0.0,0.0,0.0
2021-01-11,20001,"[18, 25)",1.4336114334150478e-07,1.0216541249624479e-07,2.0415583427739428e-08
2021-01-11,20001,"[25, 35)",2.351434901237523e-06,1.6757352169738674e-06,3.348600205200413e-07
2021-01-11,20001,"[35, 45)",4.297556564956765e-06,3.0626265175553958e-06,6.120007314555445e-07
2021-01-11,20001,"[45, 55)",9.494951206920402e-06,6.766516952058219e-06,1.3521444094892219e-06
2021-01-11,20001,"[55, 65)",1.4079446024969314e-05,1.0033628201702272e-05,2.0050070628580006e-06
2021-01-11,20001,"[65, 75)",1.1537992523689926e-05,8.222477430675581e-06,1.6430871257416199e-06
2021-01-11,20001,"[75, 85)",0.0001989029766231808,0.00014174694885789899,2.832511110491838e-05
2021-01-11,20001,"[85, 120)",0.0040112195531674675,0.0028585702562802648,0.0005712244303157812
2021-01-11,20002,"[0, 12)",0.0,0.0,0.0
2021-01-11,20002,"[12, 18)",0.0,0.0,0.0
2021-01-11,20002,"[18, 25)",0.0,0.0,0.0
2021-01-11,20002,"[25, 35)",4.8885983015136905e-06,3.4838286746419405e-06,6.961690186267066e-07
2021-01-11,20002,"[35, 45)",6.346150701518362e-06,4.522544178093546e-06,9.037342062990224e-07
2021-01-11,20002,"[45, 55)",8.400716328074773e-06,5.986717383225699e-06,1.1963180611641398e-06
2021-01-11,20002,"[55, 65)",1.4653988592635417e-05,1.0443072330383861e-05,2.086825758283953e-06
2021-01-11,20002,"[65, 75)",1.2250464383469605e-05,8.730215997415122e-06,1.7445478727349622e-06
2021-01-11,20002,"[75, 85)",0.0001390213385968784,9.907267808053404e-05,1.9797566273586548e-05
2021-01-11,20002,"[85, 120)",0.003870466474911225,0.002758263464879264,0.000551180252759201
2021-01-11,21000,"[0, 12)",0.0,0.0,0.0
2021-01-11,21000,"[12, 18)",0.0,0.0,0.0
2021-01-11,21000,"[18, 25)",1.658211854774038e-08,1.1817141953562112e-08,2.3614043298582533e-09
2021-01-11,21000,"[25, 35)",1.0432686352411703e-06,7.434787975281903e-07,1.485684151497951e-07
2021-01-11,21000,"[35, 45)",1.093946756954112e-06,7.795942405879877e-07,1.5578531784515852e-07
2021-01-11,21000,"[45, 55)",3.372655753968675e-06,2.403501801678826e-06,4.802886843206323e-07
2021-01-11,21000,"[55, 65)",1.7158923078682414e-05,1.2228198056072528e-05,2.4435451439482593e-06
2021-01-11,21000,"[65, 75)",6.525085348445076e-05,4.650060823029824e-05,9.292156940110964e-06
2021-01-11,21000,"[75, 85)",0.0004900278134107945,0.00034921522335022145,6.978323047249629e-05
2021-01-11,21000,"[85, 120)",0.007215961323248946,0.005142409218867066,0.0010276010428795143
2021-01-11,30000,"[0, 12)",0.0,0.0,0.0
2021-01-11,30000,"[12, 18)",0.0,0.0,0.0
2021-01-11,30000,"[18, 25)",2.865736169934773e-06,2.0422487647811033e-06,4.080999529965085e-07
2021-01-11,30000,"[25, 35)",1.4998146611247747e-05,1.0688334366636326e-05,2.135836156621585e-06
2021-01-11,30000,"[35, 45)",1.7457157904187937e-05,1.244073321907646e-05,2.4860157731525853e-06
2021-01-11,30000,"[45, 55)",2.4150294895776436e-05,1.7210554983197e-05,3.439163142517235e-06
2021-01-11,30000,"[55, 65)",2.6814998338308264e-05,1.9109539045690943e-05,3.81863469368645e-06
2021-01-11,30000,"[65, 75)",1.4918533133604836e-05,1.0631598325097699e-05,2.124498666162825e-06
