date,age,dose,CUMULATIVE,INCIDENCE
2021-02-08,"[75, 85)",A,44999.0,883.0
2021-02-08,"[75, 85)",B,35760.0,4267.0
2021-02-08,"[75, 85)",C,0.0,0.0
2021-02-08,"[75, 85)",E,0.0,0.0
2021-02-08,"[85, 120)",A,84873.0,560.0
2021-02-08,"[85, 120)",B,71314.0,5952.0
2021-02-08,"[85, 120)",C,0.0,0.0
2021-02-08,"[85, 120)",E,0.0,0.0
2021-02-15,"[0, 12)",A,0.0,0.0
2021-02-15,"[0, 12)",B,0.0,0.0
2021-02-15,"[0, 12)",C,0.0,0.0
2021-02-15,"[0, 12)",E,0.0,0.0
2021-02-15,"[12, 18)",A,751.0,63.0
2021-02-15,"[12, 18)",B,475.0,155.0
2021-02-15,"[12, 18)",C,0.0,0.0
2021-02-15,"[12, 18)",E,0.0,0.0
2021-02-15,"[18, 25)",A,22289.0,6780.0
2021-02-15,"[18, 25)",B,12720.0,2460.0
2021-02-15,"[18, 25)",C,0.0,0.0
2021-02-15,"[18, 25)",E,0.0,0.0
2021-02-15,"[25, 35)",A,57408.0,18272.0
2021-02-15,"[25, 35)",B,31726.0,6242.0
2021-02-15,"[25, 35)",C,10.0,1.0
2021-02-15,"[25, 35)",E,0.0,0.0
2021-02-15,"[35, 45)",A,59095.0,21469.0
2021-02-15,"[35, 45)",B,33556.0,6431.0
2021-02-15,"[35, 45)",C,46.0,2.0
2021-02-15,"[35, 45)",E,0.0,0.0
2021-02-15,"[45, 55)",A,68282.0,24132.0
2021-02-15,"[45, 55)",B,39216.0,7117.0
2021-02-15,"[45, 55)",C,64.0,0.0
2021-02-15,"[45, 55)",E,0.0,0.0
2021-02-15,"[55, 65)",A,66723.0,14599.0
2021-02-15,"[55, 65)",B,40507.0,7011.0
2021-02-15,"[55, 65)",C,77.0,31.0
2021-02-15,"[55, 65)",E,0.0,0.0
2021-02-15,"[65, 75)",A,31381.0,2561.0
2021-02-15,"[65, 75)",B,23631.0,2548.0
2021-02-15,"[65, 75)",C,42.0,29.0
2021-02-15,"[65, 75)",E,0.0,0.0
2021-02-15,"[75, 85)",A,45882.0,927.0
2021-02-15,"[75, 85)",B,40027.0,2242.0
2021-02-15,"[75, 85)",C,0.0,0.0
2021-02-15,"[75, 85)",E,0.0,0.0
2021-02-15,"[85, 120)",A,85433.0,459.0
2021-02-15,"[85, 120)",B,77266.0,3215.0
2021-02-15,"[85, 120)",C,0.0,0.0
2021-02-15,"[85, 120)",E,0.0,0.0
2021-02-22,"[0, 12)",A,0.0,0.0
2021-02-22,"[0, 12)",B,0.0,0.0
2021-02-22,"[0, 12)",C,0.0,0.0
2021-02-22,"[0, 12)",E,0.0,0.0
2021-02-22,"[12, 18)",A,814.0,89.0
2021-02-22,"[12, 18)",B,630.0,31.0
2021-02-22,"[12, 18)",C,0.0,0.0
2021-02-22,"[12, 18)",E,0.0,0.0
2021-02-22,"[18, 25)",A,29069.0,11193.0
2021-02-22,"[18, 25)",B,15180.0,1991.0
2021-02-22,"[18, 25)",C,0.0,0.0
2021-02-22,"[18, 25)",E,0.0,0.0
2021-02-22,"[25, 35)",A,75680.0,27103.0
2021-02-22,"[25, 35)",B,37968.0,6004.0
2021-02-22,"[25, 35)",C,11.0,1.0
2021-02-22,"[25, 35)",E,0.0,0.0
2021-02-22,"[35, 45)",A,80564.0,28447.0
2021-02-22,"[35, 45)",B,39987.0,6128.0
2021-02-22,"[35, 45)",C,48.0,1.0
2021-02-22,"[35, 45)",E,0.0,0.0
2021-02-22,"[45, 55)",A,92414.0,31586.0
2021-02-22,"[45, 55)",B,46333.0,6928.0
2021-02-22,"[45, 55)",C,64.0,0.0
2021-02-22,"[45, 55)",E,0.0,0.0
2021-02-22,"[55, 65)",A,81322.0,23209.0
2021-02-22,"[55, 65)",B,47518.0,6839.0
2021-02-22,"[55, 65)",C,108.0,17.0
2021-02-22,"[55, 65)",E,0.0,0.0
2021-02-22,"[65, 75)",A,33942.0,7951.0
2021-02-22,"[65, 75)",B,26179.0,1759.0
2021-02-22,"[65, 75)",C,71.0,20.0
2021-02-22,"[65, 75)",E,0.0,0.0
2021-02-22,"[75, 85)",A,46809.0,5375.0
2021-02-22,"[75, 85)",B,42269.0,1186.0
2021-02-22,"[75, 85)",C,0.0,0.0
2021-02-22,"[75, 85)",E,0.0,0.0
2021-02-22,"[85, 120)",A,85892.0,4553.0
2021-02-22,"[85, 120)",B,80481.0,1374.0
2021-02-22,"[85, 120)",C,0.0,0.0
2021-02-22,"[85, 120)",E,0.0,0.0
2021-03-01,"[0, 12)",A,0.0,0.0
2021-03-01,"[0, 12)",B,0.0,0.0
2021-03-01,"[0, 12)",C,0.0,0.0
2021-03-01,"[0, 12)",E,0.0,0.0
2021-03-01,"[12, 18)",A,903.0,185.0
2021-03-01,"[12, 18)",B,661.0,52.0
2021-03-01,"[12, 18)",C,0.0,0.0
2021-03-01,"[12, 18)",E,0.0,0.0
2021-03-01,"[18, 25)",A,40262.0,10032.0
2021-03-01,"[18, 25)",B,17171.0,3743.0
2021-03-01,"[18, 25)",C,0.0,0.0
2021-03-01,"[18, 25)",E,0.0,0.0
2021-03-01,"[25, 35)",A,102783.0,24358.0
2021-03-01,"[25, 35)",B,43972.0,9204.0
2021-03-01,"[25, 35)",C,12.0,10.0
2021-03-01,"[25, 35)",E,0.0,0.0
2021-03-01,"[35, 45)",A,109011.0,22989.0
2021-03-01,"[35, 45)",B,46115.0,8924.0
2021-03-01,"[35, 45)",C,49.0,5.0
2021-03-01,"[35, 45)",E,0.0,0.0
2021-03-01,"[45, 55)",A,124000.0,20642.0
2021-03-01,"[45, 55)",B,53261.0,9853.0
2021-03-01,"[45, 55)",C,64.0,0.0
2021-03-01,"[45, 55)",E,0.0,0.0
2021-03-01,"[55, 65)",A,104531.0,29023.0
2021-03-01,"[55, 65)",B,54357.0,10324.0
2021-03-01,"[55, 65)",C,125.0,7.0
2021-03-01,"[55, 65)",E,0.0,0.0
2021-03-01,"[65, 75)",A,41893.0,18697.0
2021-03-01,"[65, 75)",B,27938.0,2462.0
2021-03-01,"[65, 75)",C,91.0,11.0
2021-03-01,"[65, 75)",E,0.0,0.0
2021-03-01,"[75, 85)",A,52184.0,13522.0
2021-03-01,"[75, 85)",B,43455.0,1051.0
2021-03-01,"[75, 85)",C,0.0,0.0
2021-03-01,"[75, 85)",E,0.0,0.0
2021-03-01,"[85, 120)",A,90445.0,7296.0
2021-03-01,"[85, 120)",B,81855.0,723.0
2021-03-01,"[85, 120)",C,0.0,0.0
2021-03-01,"[85, 120)",E,0.0,0.0
2021-03-08,"[0, 12)",A,0.0,0.0
2021-03-08,"[0, 12)",B,0.0,0.0
2021-03-08,"[0, 12)",C,0.0,0.0
2021-03-08,"[0, 12)",E,0.0,0.0
2021-03-08,"[12, 18)",A,1088.0,111.0
2021-03-08,"[12, 18)",B,713.0,71.0
2021-03-08,"[12, 18)",C,0.0,0.0
2021-03-08,"[12, 18)",E,0.0,0.0
2021-03-08,"[18, 25)",A,50294.0,9036.0
2021-03-08,"[18, 25)",B,20914.0,4771.0
2021-03-08,"[18, 25)",C,0.0,0.0
2021-03-08,"[18, 25)",E,0.0,0.0
2021-03-08,"[25, 35)",A,127141.0,16185.0
2021-03-08,"[25, 35)",B,53176.0,10967.0
2021-03-08,"[25, 35)",C,22.0,1.0
2021-03-08,"[25, 35)",E,0.0,0.0
2021-03-08,"[35, 45)",A,132000.0,13726.0
2021-03-08,"[35, 45)",B,55039.0,11057.0
2021-03-08,"[35, 45)",C,54.0,1.0
2021-03-08,"[35, 45)",E,0.0,0.0
2021-03-08,"[45, 55)",A,144642.0,15012.0
2021-03-08,"[45, 55)",B,63114.0,12107.0
2021-03-08,"[45, 55)",C,64.0,1.0
2021-03-08,"[45, 55)",E,0.0,0.0
2021-03-08,"[55, 65)",A,133554.0,30471.0
2021-03-08,"[55, 65)",B,64681.0,12750.0
2021-03-08,"[55, 65)",C,132.0,0.0
2021-03-08,"[55, 65)",E,0.0,0.0
2021-03-08,"[65, 75)",A,60590.0,39627.0
2021-03-08,"[65, 75)",B,30400.0,2616.0
2021-03-08,"[65, 75)",C,102.0,0.0
2021-03-08,"[65, 75)",E,0.0,0.0
2021-03-08,"[75, 85)",A,65706.0,54072.0
2021-03-08,"[75, 85)",B,44506.0,898.0
2021-03-08,"[75, 85)",C,0.0,0.0
2021-03-08,"[75, 85)",E,0.0,0.0
2021-03-08,"[85, 120)",A,97741.0,58460.0
2021-03-08,"[85, 120)",B,82578.0,564.0
2021-03-08,"[85, 120)",C,0.0,0.0
2021-03-08,"[85, 120)",E,0.0,0.0
2021-03-15,"[0, 12)",A,0.0,0.0
2021-03-15,"[0, 12)",B,0.0,0.0
2021-03-15,"[0, 12)",C,0.0,0.0
2021-03-15,"[0, 12)",E,0.0,0.0
2021-03-15,"[12, 18)",A,1199.0,92.0
2021-03-15,"[12, 18)",B,784.0,58.0
2021-03-15,"[12, 18)",C,0.0,0.0
2021-03-15,"[12, 18)",E,0.0,0.0
2021-03-15,"[18, 25)",A,59330.0,5156.0
2021-03-15,"[18, 25)",B,25685.0,4809.0
2021-03-15,"[18, 25)",C,0.0,0.0
2021-03-15,"[18, 25)",E,0.0,0.0
2021-03-15,"[25, 35)",A,143326.0,8831.0
2021-03-15,"[25, 35)",B,64143.0,9903.0
2021-03-15,"[25, 35)",C,23.0,0.0
2021-03-15,"[25, 35)",E,0.0,0.0
2021-03-15,"[35, 45)",A,145726.0,9481.0
2021-03-15,"[35, 45)",B,66096.0,10130.0
2021-03-15,"[35, 45)",C,55.0,0.0
2021-03-15,"[35, 45)",E,0.0,0.0
2021-03-15,"[45, 55)",A,159654.0,11591.0
2021-03-15,"[45, 55)",B,75221.0,11222.0
2021-03-15,"[45, 55)",C,65.0,1.0
2021-03-15,"[45, 55)",E,0.0,0.0
2021-03-15,"[55, 65)",A,164025.0,17010.0
2021-03-15,"[55, 65)",B,77431.0,15056.0
2021-03-15,"[55, 65)",C,132.0,0.0
2021-03-15,"[55, 65)",E,0.0,0.0
2021-03-15,"[65, 75)",A,100217.0,51979.0
2021-03-15,"[65, 75)",B,33016.0,5819.0
2021-03-15,"[65, 75)",C,102.0,0.0
2021-03-15,"[65, 75)",E,0.0,0.0
2021-03-15,"[75, 85)",A,119778.0,69089.0
2021-03-15,"[75, 85)",B,45404.0,4471.0
2021-03-15,"[75, 85)",C,0.0,0.0
