date,NIS,age,dose,CUMULATIVE,INCIDENCE
2020-12-28,33000,"[0, 12)",A,0,0
2020-12-28,33000,"[0, 12)",B,0,0
2020-12-28,33000,"[0, 12)",C,0,0
2020-12-28,33000,"[0, 12)",E,0,0
2020-12-28,33000,"[12, 18)",A,0,0
2020-12-28,33000,"[12, 18)",B,0,0
2020-12-28,33000,"[12, 18)",C,0,0
2020-12-28,33000,"[12, 18)",E,0,0
2020-12-28,33000,"[18, 25)",A,0,0
2020-12-28,33000,"[18, 25)",B,0,0
2020-12-28,33000,"[18, 25)",C,0,0
2020-12-28,33000,"[18, 25)",E,0,0
2020-12-28,33000,"[25, 35)",A,0,0
2020-12-28,33000,"[25, 35)",B,0,0
2020-12-28,33000,"[25, 35)",C,0,0
2020-12-28,33000,"[25, 35)",E,0,0
2020-12-28,33000,"[35, 45)",A,0,0
2020-12-28,33000,"[35, 45)",B,0,0
2020-12-28,33000,"[35, 45)",C,0,0
2020-12-28,33000,"[35, 45)",E,0,0
2020-12-28,33000,"[45, 55)",A,0,27
2020-12-28,33000,"[45, 55)",B,0,0
2020-12-28,33000,"[45, 55)",C,0,0
2020-12-28,33000,"[45, 55)",E,0,0
2020-12-28,33000,"[55, 65)",A,0,27
2020-12-28,33000,"[55, 65)",B,0,0
2020-12-28,33000,"[55, 65)",C,0,0
2020-12-28,33000,"[55, 65)",E,0,0
2020-12-28,33000,"[65, 75)",A,0,15
2020-12-28,33000,"[65, 75)",B,0,0
2020-12-28,33000,"[65, 75)",C,0,0
2020-12-28,33000,"[65, 75)",E,0,0
2020-12-28,33000,"[75, 85)",A,0,116
2020-12-28,33000,"[75, 85)",B,0,0
2020-12-28,33000,"[75, 85)",C,0,0
2020-12-28,33000,"[75, 85)",E,0,0
2020-12-28,33000,"[85, 120)",A,0,297
2020-12-28,33000,"[85, 120)",B,0,0
2020-12-28,33000,"[85, 120)",C,0,0
2020-12-28,33000,"[85, 120)",E,0,0
2020-12-28,34000,"[0, 12)",A,0,0
2020-12-28,34000,"[0, 12)",B,0,0
2020-12-28,34000,"[0, 12)",C,0,0
2020-12-28,34000,"[0, 12)",E,0,0
2020-12-28,34000,"[12, 18)",A,0,0
2020-12-28,34000,"[12, 18)",B,0,0
2020-12-28,34000,"[12, 18)",C,0,0
2020-12-28,34000,"[12, 18)",E,0,0
2020-12-28,34000,"[18, 25)",A,0,0
2020-12-28,34000,"[18, 25)",B,0,0
2020-12-28,34000,"[18, 25)",C,0,0
2020-12-28,34000,"[18, 25)",E,0,0
2020-12-28,34000,"[25, 35)",A,0,0
2020-12-28,34000,"[25, 35)",B,0,0
2020-12-28,34000,"[25, 35)",C,0,0
2020-12-28,34000,"[25, 35)",E,0,0
2020-12-28,34000,"[35, 45)",A,0,10
2020-12-28,34000,"[35, 45)",B,0,0
2020-12-28,34000,"[35, 45)",C,0,0
2020-12-28,34000,"[35, 45)",E,0,0
2020-12-28,34000,"[45, 55)",A,0,15
2020-12-28,34000,"[45, 55)",B,0,0
2020-12-28,34000,"[45, 55)",C,0,0
2020-12-28,34000,"[45, 55)",E,0,0
2020-12-28,34000,"[55, 65)",A,0,60
2020-12-28,34000,"[55, 65)",B,0,0
2020-12-28,34000,"[55, 65)",C,0,0
2020-12-28,34000,"[55, 65)",E,0,0
2020-12-28,34000,"[65, 75)",A,0,34
2020-12-28,34000,"[65, 75)",B,0,0
2020-12-28,34000,"[65, 75)",C,0,0
2020-12-28,34000,"[65, 75)",E,0,0
2020-12-28,34000,"[75, 85)",A,0,227
2020-12-28,34000,"[75, 85)",B,0,0
2020-12-28,34000,"[75, 85)",C,0,0
2020-12-28,34000,"[75, 85)",E,0,0
2020-12-28,34000,"[85, 120)",A,0,490
2020-12-28,34000,"[85, 120)",B,0,0
2020-12-28,34000,"[85, 120)",C,0,0
2020-12-28,34000,"[85, 120)",E,0,0
