,A01,A02,A03,B05-09,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31-32,C33,D35,E36,E37-39,F41-43,G45,G46,G47,H49,H50,H51,H52,H53,I55-56,J58,J59-60,J61,J62-63,K64,K65,K66,L68,M69-70,M71,M72,M73,M74-75,N77,N78,N79,N80-82,O84,P85,Q86,Q87-88,R90-92,R93,S94,S95,S96,T97-98
G46,806.370053794933,55.2550983416428,9.74602187016199,30.3627712548459,2624.79948701929,403.186404804189,168.504353933515,211.418417258627,233.690782011791,233.274291671196,1562.81271644627,190.622997050707,400.986916488986,367.015792431431,815.012402366989,336.529787980664,232.586532518782,233.307038189366,508.737243094166,180.266999910086,40.3717779089937,316.603552282243,410.656590487431,58.8428086785365,14.7649163889404,232.971579725685,3442.74546949011,296.131668174394,5113.88047445165,258.97338034404,103.793703471232,3.60880220048957,9.71730494874666,169.290255589562,10.3438526615411,1205.76418670756,36.4309255248933,24.194801559673,256.641768409557,63.5801014158717,39.4639618024414,12.4262187798272,92.4264465044967,224.111160147604,193.277870593084,62.8174819385306,125.621250515087,44.7008116672791,120.482973479047,60.0282085268777,4.83105222775931,3.83230928915516,252.075607843733,213.843640355912,116.222159213209,1282.52928673819,245.81333570731,19.4919163707377,60.3907993242165,14.6347911293404,30.7464120760047,86.7517687775325,0
G47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H49,80.0888235509044,0,0,90.4475282562719,1156.82698544711,125.737561721823,157.339632907929,295.252349421322,20.8205613100712,54.1439539441535,394.50233303672,84.4421097672683,211.57557431994,450.761435036612,487.578590801958,198.311503138296,5.09579812484512,69.5375274770699,112.886663906024,107.381380204737,9.3019698804316,91.1478014370142,94.4621526681976,538.223655834474,2.42101968493073,251.388821413427,480.946968585646,598.007521370384,2490.77413544532,587.030036568841,3602.75723014944,0.640036958479562,6.56275360636937,921.584483292787,481.01355369979,26.7527565812422,72.6598353344649,26.0890405964619,14.4287125241316,85.4748820388697,30.0278852735951,7.45372772684942,45.5593710915844,10.3114424926855,134.899632745186,89.8950967458427,47.1832312055435,14.1902424399728,34.9111267036125,187.520006145783,1.21011284182881,15.2558227693419,93.4218218363886,164.082923032823,64.0058423350298,158.894340728699,148.954434755104,39.9133094160995,9.48777206495609,20.6995167810426,6.66391662510485,138.494213256072,0
H50,0.042613519371041,0,0,0.356531405615344,98.5507307862843,13.4898973581803,7.31137847995145,11.0260545418807,0.351310392610133,50.7221291438127,97.3118985140161,0,14.837122820121,34.0141765531723,155.977741866431,66.1370746265525,2.62714947741745,0.613316290970858,12.4248724394148,21.2864211814959,1.56114643629203,1.97442820930048,6.65568619885812,0.022449644644798,0,27.1899409676565,41.1223843002487,366.722190415618,330.413796773807,4.18602331360841,5.43683034138279E-05,756.786889995741,0.527470469575724,6.01532734679733,0,0,0,0,0,0.139375942184524,0,0,0,0,4.22809426891637,0.291934459640264,0.998968931005186,0,0.004957422684352,1.90673330337772,0,0,0.503644732313745,0,0,0,0,0,0,0,0,0,0
H51,0.100008729320932,0,0,1.16500932140684,16.0161756542359,12.4512396537437,0.606429563822926,5.29656140261785,12.0491435620469,1.12103753531276,16.6826191554422,47.8779163690483,10.750077934037,5.16124351894457,8.83091087350969,3.43901411859097,13.3161605476415,6.30346495842037,20.5366294871318,9.96964325588434,9.69308910916521,6.3392330238665,9.84822123048042,0.000555855267071,0,0.456960781736998,58.7222114688667,23.4438086035785,284.936753477236,252.551926802582,4.25151872779108,13.7975477324312,254.051638933211,1037.4320446884,168.3239574064,9.38675888212046,1.83828626467558,13.1331480018666,13.9740442716637,84.7828092481365,33.5290913245442,12.8678931892201,157.574599119093,4.84128700203185,179.091645914962,121.133624977883,128.358578078601,21.4415513829712,6.54431350442903,39.3588572839507,0,804.120108701251,4.21461072958979,65.392607467248,102.03835251562,0,0.38311383457965,80.9377307665887,38.1482748511191,81.3557749072825,0,0,0
H52,5.95021371396114,0,8.18269288060481,11.9897737792983,211.460313133098,0.779987191909342,8.14168349379278,12.8024472277293,0.663919198404453,84.8041455748218,363.743827947013,16.8824411652462,9.54322151533533,26.7777781683721,115.301864192844,23.0573500419736,3.15366950079117,3.25191730708787,20.5979104348054,33.0246808936805,0.375905325111225,6.95719990561056,14.0473366511887,0.004101030446934,0,2.44333870007494,111.736657734092,438.345549596548,2088.98979920548,569.805690389006,4515.24708526206,561.525509456151,735.630170445492,6664.27272017262,309.943261549565,0.916927448039481,18.4081678087629,0.070271420702335,0.002260114503264,33.6476359018394,0.227213956219236,0,1.69609417216911,4.29382944651165,105.033027166101,25.4573623473112,10.6580941772772,24.5267703069643,6.44398246782393,131.163238204563,0.135776201465963,1.88937393705032,51.1108587285906,1.81190730025278,12.55511275923,11.9715669245505,3.02759508109992,0.097205758050213,0.085015281517979,0,0,0,0
H53,0.776015953711112,0,0,0.130176886731799,18.4481611432342,9.13189241720957,1.30023151418007,0.000264081113103,16.9062615528472,0.199235335400579,6.54268632107471,0.251607667266924,9.70253760373172,1.90003010756657,9.17676727514892,3.79272666144013,0.034243332944486,1.60104041948154,11.576160172734,3.97969549330826,0.829361905080498,1.62861136146144,3.82126246945625,26.9903200934536,13.4433186374013,2.78606638466963,22.9647961595237,29.8774504312459,371.458216503775,126.071175155101,21.0398757042678,0.002427448793119,1.52949554089203,133.091286238286,262.168661750131,10.1717609869578,193.103262407452,16.5972608581538,142.021364130247,37.6628485430628,59.3619727398642,23.1054817039394,136.741509098471,40.4428960368842,347.887796232286,44.0565905464203,28.5782019910424,28.9331981322047,40.9879242541165,11.2263453190575,37.3685540668377,12.4596721599638,184.951576898548,655.395197720237,35.7289800545477,149.184050249126,54.1278020828204,22.4250819794719,16.3626340694023,54.0071661418688,4.16299105259828,3.26831434739753,0
I55-56,6.35143497940549,0,0,1.23407974146916,27.2074515022771,12.0187366741872,3.47423950291256,2.07433074968778,3.74327097394563,17.9802425200206,22.3861839117905,11.1419498219484,13.7118898232253,14.3550842615149,8.32461614543504,19.2468848998741,7.65952879513062,9.23538758231919,25.4793727026633,12.0181862168586,1.67248113630832,8.96797851645026,17.7847748401191,13.5778333521279,0.375727277520008,4.33323907956068,72.0062352770288,24.0641201989506,382.11784580192,94.7274324500108,18.7595544368677,4.14571470792823,191.593231015682,496.401721011637,5.79583469791745,69.2667540676424,13.6085833369604,126.52290937545,11.569989445655,132.700997426567,122.624128304296,17.9567453358752,401.51153991208,26.7191211170017,264.926756542042,122.592062564255,133.470021557683,12.2959115469913,11.3555216815447,22.64478894252,21.3981915172097,1087.85999606378,118.117656662966,116.818863979723,282.139983722769,404.134226051526,119.915215958484,128.201288349888,91.1638835031423,211.781532462233,1.19513603618257,62.164543323295,0
J58,1.34296548310433,0,0,0.323054653991838,78.5835634630627,4.00771524486389,3.07647742939492,3.104762873177,0.036538772233749,19.1518333735056,23.3648732289522,18.8334209812857,9.51653925074924,4.81712793236736,12.5691577346687,29.3878111918214,4.14772868969771,16.0316156067572,6.3449216857541,13.1184396368735,2.08477580710877,6.75245437226094,14.1328182299352,7.11932305624856,1.35135723386653,1.87649133830409,60.9737720081774,162.866736190872,365.705610855595,150.248752255698,11.8733874852261,0.032112922756842,8.4984806714111,44.0511460126333,3.39806502163915,34.6263658904006,299.035422367834,69.6112383572672,77.4765501258812,92.7464247801338,19.2979727890034,3.05088274707406,133.931114345293,18.2531825844613,103.042406348217,13.261654753527,43.9899899535896,565.407514396658,15.4732633546165,132.564485215846,10.2088592632508,18.4758146738139,103.431183168329,27.0219375744633,102.033664197208,14.7275722792972,23.3351735328353,26.3669983594178,12.3008324597876,18.11543307032,2.9236566627452,15.6910493836503,0
J59-60,0.174090877795104,0,0,0.000298631158801,134.083587503202,18.5266614599746,12.7120310269019,0.337368031301486,0.000160241508203,1.90073200107882,11.4657618714615,3.44938221161173,1.58182052717674,6.76633372296889,7.51306324716229E-08,6.88799741418685,0.739008146444535,1.68169680438545,3.01985577709986,3.11008695677762,0.396425805063544,20.3442954780902,0.620198385131071,0.002008719078397,0,0.530486198996104,22.8917009186286,185.985225158785,105.729441429102,106.818555293239,3.186845907861,0,8.03186386426254,0.466429225253432,2.13951916512263,18.801649146509,46.7283473504591,870.603417422292,111.505075672532,35.0861307925817,0.050488054844387,0,0.018490032582023,10.4182537854876,21.9703155226843,1.79767192769709,2.52124255273923,840.776232260461,8.36423135000055,14.5953816932932,4.77656721340562,5.80341837759726,22.2137997208739,4.06262119156055,21.7243843768289,0.157041010868163,1.90558080228443,45.4809110551152,2.79169184125352,0.588757012290056,0,3.25953178016949,0
J61,0.750437724027197,0,0,1.11089225435064,11.3670193582555,4.1965425705235,2.0258364378107,3.03296800891428,3.24243063076781,8.91363040433848,20.0401449898447,10.4822339156328,7.65982659128675,8.95467588050255,10.488623742709,15.0233692553222,1.81496859818448,4.86373566096494,9.30522512679955,1.0271846188988,1.15503888072844,4.60389151985299,12.5253755492266,30.5370041372849,1.38638010373688,20.9426457380851,95.6174551409883,52.2956793942009,173.353765965613,60.970404249674,63.0920898978649,1.19473683411556,9.21264239201902,58.6279134483655,7.98635292680069,51.8955534949597,10.0616432477332,63.0547020422039,2939.4643867017,387.035636732884,319.351626565908,55.951615804287,804.55037792628,70.5836513078045,281.940323256556,61.7270706438844,52.2686560400792,10.841331025213,9.05195528184106,35.0565231529821,15.701988082842,24.132690570487,60.1586555546762,123.652764523113,50.6543276909402,152.463548446531,59.9866738296335,32.6494892304093,11.206851181766,31.3127312383411,2.3896381580786,12.349280627956,0
J62-63,0.714843674725719,0,0,6.46102844336761,19.0566426716011,5.06945717283091,3.42668406032807E-08,15.2554107710624,0.016524624067927,39.4716468811237,61.2392880873699,18.0908012898111,1.71156013194255,4.92764908587796,31.7480400577135,53.864838259964,17.1044714263004,3.53036215758392,16.2536626720825,35.9445454674742,1.17305764959431,8.4059803201423,13.2283785412373,138.388587046796,2.95782194949979,5.47086755435213,45.1134773561406,19.7529786946715,372.532569515319,61.8635693772616,144.12665445986,0.33022787805144,7.73956240991819,116.211802230298,14.8334235291369,14.5774947774829,73.4496158361378,7.72910347775879,620.716015526919,4714.13697082266,689.083140994532,132.163828573074,811.235029314948,41.7390902947655,1262.47439708334,121.065604910872,140.651904239353,105.885413875411,22.1970942888641,127.371463549914,30.5150725033847,68.8539612390346,388.221760284826,421.103718328637,14.3800970041146,295.46969728512,11.0735109300529,96.8133213185063,4.01956901221518,47.8184674084805,1.25572638077308,0,0
